32	384	430	591	1296	1976	1999	2137	2175	3638	4214	4304	4486	4662	4999	5174	5700	6969	7115	7138	7189
1788	1881	1910	2724	4504	4928	4973	5616	5686	5718	5846	6523	6893	6994	7074	7100	7277	7399	7476	7480	7537
2791	2824	2927	4196	4298	4800	4948	5361	5401	5688	5818	5862	5969	6029	6244	6645	6962	7203	7302	7454	7534
574	1461	1826	2056	2069	2387	2794	3349	3366	4951	5826	5834	5903	6640	6762	6786	6859	7043	7418	7431	7554
14	178	675	823	890	930	1209	1311	2898	4339	4600	5203	6485	6549	6970	7208	7218	7298	7454	7457	7462
4075	4188	7313	7553
5145	6018	7148	7507
3198	4858	6983	7033
3170	5126	5625	6901
2839	6093	7071	7450
11	3735	5413
2497	5400	7238
2067	5172	5714
1889	7173	7329
1795	2773	3499
2695	2944	6735
3221	4625	5897
1690	6122	6816
5013	6839	7358
1601	6849	7415
2180	7389	7543
2121	6838	7054
1948	3109	5046
272	1015	7464
