24402	4786	12678	6376	23965	10003	15376	15164	21366	24252	3353
8189	3297	18493	17994	16296	11970	16168	15911	20683	11930	3119
22463	11744	13833	8279	21652	14679	23663	4389	15110	17254	17498
13616	426	18060	598	19615	9494	3987	8014	13361	4131	13185
4176	17725	14717	3414	10033	17879	8079	12107	10852	1375	19459
1450	4123	2111	17490	13209	8048	15285	4422	11667	18290	19621
2067	15982	304	8658	19120	6746	13569	19253	2227	22778	23826
11667	11145	20469	17485	13697	3712	4258	16831	22634	18035	7275
23804	14496	17938	15883	14984	15944	2816	22406	22111	2319	14731
8541	12579	22121	8602	16755	6704	23740	16151	20297	9633	1100
19569	10549	19086	21110	11659	6901	21295	7637	11756	8293	9071
9527	9135	7181	19534	2157	788	13347	17355	17509	711	20116
21217	15801	12175	9604	17521	2127	21103	1346	8921	7976	3363
11036	5152	19173	8086	3571	1955	4146	13309	15934	19132	5510
12935	13966	15399	16179	8206	19233	16702	7127	12185	15420	1383
6222	6384	20549	18914	23658	11189	638	9297	17741	9747	13598
17209	11974	20776	2146	9023	3192	19646	3393	1727	15588	20185
5008	3885	5035	15852	5189	13877	15177	3049	22164	16540	21064
24004	10345	12255	36	24008	8764	13276	13131	2358	24010	16203
21121	21691	8555	11918	129	8860	23600	3042	3949	19554	12319
22514	11709	11874	11656	536	9142	3901	580	1547	10749	5529
3324	6251	1156	112	13086	5373	5119	132	18069	10482	19519
17279	2017	14846	21417	17154	21735	18788	11759	192	16027	6234
20417	3788	15159	22188	21251	16633	13579	8128	1841	23554	15056
12104	9182	6147	1553	12750	4071	6495
4961	18460	23266	10785	10973	4405	2707
7665	7043	1968	3589	15378	9642	21148
13073	13298	20040	13582	17124	348	12055
378	7476	9838
15454	5218	14834
17678	3445	18453
2767	388	12638
5688	56	6360
20009	872	16872
10206	5551	477
10662	23689	19768
8965	17535	4421
19397	18734	5422
10043	22104	21682
508	1588	23853
1092	7288	4358
2283	22298	10504
15022	8592	22291
11844	17038	2983
17404	14541	6446
20724	7498	2993
14715	9410	6844
20213	14674	263
4822	20951	635
20651	23174	5057
22237	9229	4859
17280	9586	20334
19508	8068	11375
5776	21209	9418
6872	6349	20397
11165	19619	13108
13550	10715	5122
5655	10699	8415
9864	4985	7986
6436	3754	7690
4257	17119	5328
659	4687	6006
527	10824	8234
11291	1735	22513
7254	2617	1493
3015	7462	10953
15705	2181	11992
4628	19430	18223
9426	21808	13549
17008	3470	22568
13643	24195	21816
936	14226	22874
6156	19306	18215
23984	14714	12907
5139	18639	15609
11908	5446	8958
6315	16864	15814
10686	22570	16196
203	4208	13716
494	14172	11778
15112	14244	8417
21087	4602	15570
19758	4401	22270
8218	11940	5009
23833	13785	12569
1698	7113	18541
18711	19991	19673
8025	17107	14784
5954	6817	19810
24143	12236	18063
23748	23956	10369
7805	13982	13861
5198	10889	6787
10406	13918	3305
12219	6523	12999
9964	2004	17361
23759	21507	11984
4188	19754	13358
8027	3662	2411
19762	16017	9125
2393	4619	5452
24176	6586	10895
15872	1795	15801
6911	15300	14787
2584	4905	8833
1327	12862	9476
16768	12633	7400
11983	6276	18370
12939	12793	20048
20284	12949	21345
19545	4503	16017
1253	12068	18813
