71	1478	1901	2240	2649	2725	3592	3708	3965	4080	5733	6198
393	1384	1435	1878	2773	3182	3586	5465	6091	6110	6114	6327
160	1149	1281	1526	1566	2129	2929	3095	3223	4250	4276	4612
289	1446	1602	2421	3559	3796	5590	5750	5763	6168	6271	6340
947	1227	2008	2020	2266	3365	3588	3867	4172	4250	4865	6290
3324	3704	4447
1206	2565	3089
529	4027	5891
141	1187	3206
1990	2972	5120
752	796	5976
1129	2377	4030
6077	6108	6231
61	1053	1781
2820	4109	5307
2088	5834	5988
3725	3945	4010
1081	2780	3389
659	2221	4822
3033	6060	6160
756	1489	2350
3350	3624	5470
357	1825	5242
585	3372	6062
561	1417	2348
971	3719	5567
1005	1675	2062
