6106	5389	698	6749	6294	1653	1984	2167	6139	6095	3832	2468	6115
4202	2362	1852	1264	3564	6345	498	6137	3908	3302	527	2767	6667
3422	1242	1377	2238	2899	1974	1957	261	3463	4994	215	2338
3016	5109	6533	2665	5300	4908	4967	5787	726	229	1970	2789
6146	5765	6649	2871	884	1670	2597	5058	3659	6594	5042	304
5521	2811	0	4214	2626	2211	1236	3771	852	6356	6797	3463
1523	1830	3938	5593	2128	5791	3421	3680	6692	1377	3808	3475
5551	6035	2247	3662	759	6783	116	6380	4586	3367	1	5003
3518	6557	6510
1830	839	4421
5431	5959	6152
3174	5113	4520
5399	1303	2496
2841	741	220
2731	1830	4193
1875	3935	223
9	4720	423
3107	2676	840
1950	6177	6457
4091	94	5102
1907	6050	3455
714	3	559
502	4268	4164
1019	5558	271
6127	854	3221
959	5337	2735
